r(B_06,5)	round(B_06_ERR,5)	round(V_06,5)	round(V_06_ERR,5)	round(R_06,5)	round(R_06_ERR,5)	round(F814W_06,5)	round(F814W_06_ERR,5)	round(Z_06,5)	round(Z_06_ERR,5)	round(Z_BEST,8)	CLASSIF	Z_USE
20.01960	0.00690	19.27020	0.00410	18.96660	0.00360	-999.98999	-999.98999	18.34820	0.00280	-999.98999023	1	4.00000000
22.74590	0.02410	22.81750	0.02120	22.78550	0.02090	22.53850	0.07650	22.52250	0.02230	-999.98999023	0	4.00000000
22.36770	0.02020	22.36300	0.01720	22.34660	0.01710	22.08640	0.06580	22.09620	0.01840	-999.98999023	0	4.00000000
21.94320	0.01660	21.92870	0.01430	21.93490	0.01410	21.71880	0.05220	21.69320	0.01580	-999.98999023	0	4.00000000
22.14530	0.01820	22.20890	0.01590	22.19460	0.01590	21.96970	0.05470	21.93960	0.01620	-999.98999023	0	4.00000000
21.89780	0.01620	21.78780	0.01310	21.77410	0.01310	21.62000	0.04830	21.51700	0.01320	-999.98999023	0	4.00000000
22.54200	0.02180	22.46810	0.01780	22.47170	0.01790	22.32940	0.06300	22.22790	0.01760	-999.98999023	0	4.00000000
21.63660	0.01430	21.51940	0.01150	21.49700	0.01140	21.29440	0.03710	21.21680	0.01080	-999.98999023	0	4.00000000
22.76490	0.02410	22.72310	0.02000	22.66540	0.01950	22.47350	0.06170	22.37170	0.01790	-999.98999023	0	4.00000000
22.45270	0.02090	22.32320	0.01670	22.22260	0.01590	21.94470	0.04740	21.82520	0.01410	-999.98999023	0	4.00000000
-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	23.93870	0.31800	23.87390	0.08780	-999.98999023	0	4.00000000
17.57480	0.00220	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
20.62670	0.00910	19.62580	0.00480	19.11670	0.00380	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
20.31500	0.00780	19.64970	0.00490	19.33300	0.00420	-999.98999	-999.98999	18.73150	0.00330	-999.98999023	1	4.00000000
-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	24.59810	0.60020	24.29370	0.11800	-999.98999023	0	4.00000000
22.05040	0.01750	20.86270	0.00850	20.30350	0.00670	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999023	1	4.00000000
22.98830	0.02750	22.45140	0.01830	22.84810	0.02220	-999.98999	27.50000	25.84160	0.44980	-999.98999023	0	4.00000000
-999.98999	-999.98999	25.45270	0.09650	-999.98999	-999.98999	-999.98999	27.50000	26.12210	0.44980	-999.98999023	0	4.00000000
23.12330	0.02940	22.65380	0.02020	22.98080	0.02370	-999.98999	27.50000	25.64130	0.37730	-999.98999023	0	4.00000000
22.98580	0.02750	22.24170	0.01650	22.77680	0.02150	-999.98999	27.50000	26.36120	0.73630	-999.98999023	0	4.00000000
22.92180	0.02680	22.33790	0.01720	22.95680	0.02340	22.98330	0.14420	25.49810	0.33190	-999.98999023	0	4.00000000
26.87760	0.47270	24.23410	0.05270	-999.98999	-999.98999	-999.98999	27.50000	-999.98999	-999.98999	-999.98999023	0	4.00000000
25.61200	0.14160	24.25210	0.05540	-999.98999	-999.98999	-999.98999	27.50000	24.84860	0.17170	-999.98999023	0	4.00000000
-999.98999	-999.98999	24.16900	0.06620	-999.98999	-999.98999	-999.98999	27.50000	24.83440	0.18880	-999.98999023	0	4.00000000
23.01670	0.02780	22.55440	0.01920	22.82890	0.02190	25.35480	1.12090	26.05220	0.52140	-999.98999023	0	4.00000000
